,Unnamed: 0,Country/Region,Growth Rate,Latitude,Longitude,Start day,End day,Specific Humidity,Region Averaged Specific Humidity
0,0,Mainland China,0.19253976414051774,33.45336878980891,111.51273375796184,2020-01-22,2020-02-05,0.0035269293,
1,1,Hong Kong,0.11158800774499482,22.300000000000004,114.20000000000002,2020-03-02,2020-03-09,0.012462003000000001,0.012974856
2,2,US,0.24885199306310798,38.374732204344376,-90.26239075140795,2020-03-02,2020-03-16,0.007982231,0.0037811925
3,3,Japan,0.04555601417138452,36.0930909090909,138.11495454545454,2020-02-21,2020-03-06,0.0034890932,0.0039723758
4,4,Thailand,0.3694999849516071,15.514090909090912,100.9955681818182,2020-03-15,2020-03-22,0.018405346,0.016582767
5,5,South Korea,0.13417084916427208,36.0,128.0,2020-02-20,2020-03-05,0.003684018,0.0038731222
6,6,Singapore,0.11290455984108293,1.3145727272727274,103.82716363636364,2020-02-29,2020-03-14,0.018808741,0.018968225
7,7,France,0.228531925913284,12.401229999999995,-21.262191111111104,2020-02-29,2020-03-14,0.0039812196000000005,0.006568668
8,8,Others,0.228531925913284,35.44369999999999,139.63799999999998,2020-02-10,2020-02-24,0.005377956999999999,
9,9,Malaysia,0.10805252177607153,3.277499999999999,107.71627272727272,2020-03-09,2020-03-22,0.018411103999999998,0.01825903
10,10,Italy,0.1913202083036326,42.487227272727274,12.25790909090909,2020-02-23,2020-03-08,0.005866690999999999,0.005078075
11,11,Iran,0.12668994496852196,32.20376190476191,53.327619047619045,2020-02-26,2020-03-12,0.0024441653,0.0038399477
12,12,Germany,0.29991080755971783,51.07531818181819,9.65977272727273,2020-03-01,2020-03-15,0.004659384,0.004604888
13,13,Canada,0.1948732766899728,49.646427215189924,-92.19695443037979,2020-03-11,2020-03-22,0.005700581,0.0008750077
14,14,Australia,0.2187546912193049,-23.884840109890128,140.67225439560448,2020-03-10,2020-03-22,0.009451925,0.009384913
15,15,India,0.32716492144643866,20.81531818181818,78.43768181818182,2020-03-14,2020-03-22,0.012241743000000001,0.010772711
16,16,Philippines,0.2715032406458325,12.92891363636364,121.86645454545452,2020-03-14,2020-03-22,0.017404461,0.016292412
17,17,Spain,0.30599121999026746,40.210772727272726,-3.886,2020-03-02,2020-03-16,0.005812823000000001,0.0058234194
18,18,Belgium,0.1851146059607484,50.68357272727273,4.213590909090908,2020-03-06,2020-03-20,0.0054852474,0.0054916902
19,19,Egypt,0.1851146059607484,26.373000000000005,30.36477272727273,2020-03-14,2020-03-22,0.007060089,0.0064816005
20,20,Finland,0.15367091084944512,63.05640909090908,25.88554545454545,2020-03-13,2020-03-22,0.002764281,0.0026066115
21,21,Israel,0.20760295975796225,31.02095454545455,34.93254545454545,2020-03-11,2020-03-22,0.008336467,0.008455419
22,22,Lebanon,0.3581279484943039,33.85469999999999,35.8623,2020-03-15,2020-03-22,0.0068550305,0.0067828954
23,23,Sweden,0.02007834412804893,61.69463636363638,17.20159090909091,2020-03-06,2020-03-20,0.0033115225,0.0032021422
24,24,Bahrain,0.03954595411324955,26.045318181818182,50.55349999999999,2020-03-10,2020-03-22,0.011912822,0.012017555
25,25,Kuwait,0.08154703513030134,29.41440909090909,47.62809090909091,2020-03-14,2020-03-22,0.009971614,0.009574283
26,26,Austria,0.1666829514314849,47.51620000000002,14.550099999999993,2020-03-08,2020-03-22,0.0036101147999999996,0.0040709674
27,27,Iraq,0.046034706753429626,33.10145454545455,43.85422727272728,2020-03-13,2020-03-22,0.008765654,0.008669587
28,28,Switzerland,0.17389727060560312,46.81820000000002,8.227499999999994,2020-03-05,2020-03-19,0.0035192891999999997,0.004055538
29,29,China,0.1856680411086717,32.74618787878783,111.67838232323248,2020-03-11,2020-03-22,0.005661221700000001,0.003142172
30,30,"Korea, South",0.1856680411086717,35.92316666666667,127.80575000000003,2020-03-11,2020-03-22,0.0028331128000000003,
31,31,Cruise Ship,0.09727948159008024,35.44878333333333,139.66041666666666,2020-03-11,2020-03-22,0.0048911925,
32,32,Norway,0.02392209057404013,60.47199999999999,8.468899999999998,2020-03-06,2020-03-20,0.0027234209999999997,0.0022160185
33,33,Netherlands,0.180207278063422,36.45492972972972,-24.477359459459468,2020-03-06,2020-03-20,0.008707343000000001,0.0054313927
34,34,United Kingdom,0.20214237623668727,40.02799061818181,-23.38569910909091,2020-03-11,2020-03-22,0.008041186,0.0049777073
35,35,Denmark,0.20214237623668727,59.666963157894706,-1.1662947368421053,2020-03-10,2020-03-22,0.00440967,0.0047022225
36,36,Qatar,0.20214237623668727,25.354800000000008,51.1839,2020-03-11,2020-03-22,0.008584565,0.009423123
37,37,Greece,0.022942833108159973,39.07420000000001,21.8243,2020-03-13,2020-03-22,0.0047435123,0.005180367
38,38,Czechia,0.1522906887228727,49.8175,15.473000000000004,2020-03-13,2020-03-22,0.0035337859999999997,0.0035699129
39,39,Iceland,0.22054830776313325,64.96309999999995,-19.020800000000005,2020-03-12,2020-03-22,0.0033165190000000004,0.0025052337
40,40,San Marino,0.1836789470634508,43.942400000000006,12.4578,2020-03-15,2020-03-22,0.005082007,0.005303867
41,41,Portugal,0.23781957441769636,39.3999,-8.224500000000003,2020-03-13,2020-03-22,0.008884404,0.006173586
42,42,Slovenia,0.0270027496254344,46.15120000000001,14.995499999999995,2020-03-13,2020-03-22,0.0041471138,0.003812392
43,43,Romania,0.12562471758153573,45.96901818181819,24.98189090909091,2020-03-14,2020-03-22,0.0026829379999999997,0.0026705973
44,44,Ireland,0.16100169650395887,53.15486818181816,-7.706095454545456,2020-03-14,2020-03-22,0.0056329990000000005,0.005081654
